"","YEAR","TRANSECT","AGCL","AGJ","ALES","ASDI","ASFO","ASFOS","ASRU","ASRUS","BLD","BOEC","BOOV","BUUN","CABO","CABS","CAIR","CAIS","CAMA","CAMA JV","CAMS","CEBO","COF","COPE","CUFR","CYLU","DEAC","DEVI","ECPA","FLOUNDER","FUSP","HATO","HESA","HESAS","HOAM","HOAS","LADI","MESE","MOSA","MYOC","MYSC","MYSP","NO_FISH","PHGU","PLMA","POVI","PSAM","SADE","SDL","SDS","SL","SLJ","TAAD","TAON","TOAN","ULSP","un-readable*","URFE","URRE","NA"
"17",2015,"Magic 8 Ball",6,0,0,0,10,6,10,0,6,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,0,10,6,0,0,0,0,0,10,0,10,0,1,0,0,0,6,6,6,1,0,0,0,0,0,0,0
"18",2015,"North Head",6,6,0,0,10,6,10,0,6,0,0,0,10,6,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,6,10,6,0,0,0,0,0,10,0,10,0,2,0,0,6,6,6,6,1,0,0,0,0,0,0,0
"19",2015,"North Pepperrell",6,0,0,0,10,6,10,6,6,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,0,10,6,0,0,0,0,0,10,0,10,0,0,0,0,0,6,6,6,1,0,0,0,0,0,0,0
"20",2015,"North Smith's Cove",6,6,0,0,10,6,10,6,6,0,0,0,10,0,10,0,4,4,0,0,0,6,0,0,6,6,0,0,0,0,10,6,10,6,0,0,0,0,0,10,0,10,0,0,0,0,0,6,6,6,1,0,0,0,0,0,0,0
"21",2015,"Norwegian Cove",6,6,0,0,10,6,10,6,6,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,6,10,6,0,0,0,0,0,10,0,10,0,1,1,0,0,6,6,6,1,0,0,0,0,6,0,0
"22",2015,"Sandpiper Beach",6,0,0,0,10,6,10,0,6,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,0,10,6,0,0,0,0,0,10,0,10,0,1,0,0,0,6,6,6,5,0,0,0,0,0,0,0
"23",2015,"South Pepperrell",6,0,0,0,10,6,10,6,6,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6,10,0,10,6,0,0,0,0,0,10,0,10,0,0,0,0,0,6,6,6,0,1,0,0,0,0,0,0
"24",2015,"South Smith's Cove",6,0,0,0,10,6,10,6,6,0,0,0,10,0,10,0,4,0,0,0,0,6,0,0,6,6,0,0,0,0,10,0,10,6,0,0,0,0,0,10,5,10,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0
"25",2016,"Broad Cove",6,0,0,0,4,0,4,0,6,0,0,0,4,0,10,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,6,10,0,0,0,0,0,0,4,0,4,6,0,0,0,0,0,6,6,2,0,0,0,0,0,0,0
"26",2016,"Broadway and 42nd",0,0,0,0,4,0,4,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,6,6,2,0,0,0,0,0,0,0
"27",2016,"Devil's Dance Floor",6,0,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,10,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,6,6,2,0,0,0,0,0,0,0
"28",2016,"Larus Ledge",0,0,0,0,4,0,4,0,0,0,6,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0,4,0,0,0,0,6,6,6,0,1,0,0,0,0,6,0,0
"29",2016,"Magic 8 Ball",0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,4,0,4,0,0,0,0,0,6,6,6,2,0,0,0,0,0,0,0
"30",2016,"North Head",6,0,0,0,4,0,10,0,0,0,0,0,4,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,10,6,0,0,0,0,0,4,0,4,0,0,0,0,6,6,6,0,2,0,0,0,0,0,0,0
"31",2016,"North Pepperrell",6,0,0,0,10,6,10,6,6,0,0,0,10,0,10,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,0,10,6,0,0,0,0,0,10,0,10,0,0,0,0,6,6,6,6,5,0,0,0,0,0,0,0
"32",2016,"North Smith's Cove",0,0,0,0,4,0,4,0,6,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,6,6,6,0,0,6,0,0,0,0
"33",2016,"Norwegian Cove",6,0,0,0,4,0,4,0,6,0,0,0,4,0,4,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,4,0,10,0,0,0,0,6,6,6,0,7,0,0,0,0,0,0,0
"34",2016,"Sandpiper Beach",6,0,0,0,4,0,4,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,6,0,0,0,0,0,4,5,4,0,0,0,0,6,6,6,6,4,0,0,0,0,0,0,0
"35",2016,"South Pepperrell",6,0,0,0,4,0,4,0,6,0,0,0,10,0,4,6,0,0,0,0,0,0,0,0,0,6,0,0,0,4,10,0,10,6,0,0,0,0,0,10,0,10,0,0,0,0,6,6,0,6,2,1,0,0,0,0,0,0
"36",2016,"South Smith's Cove",0,0,0,0,4,0,4,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,6,6,0,0,3,0,0,0,0,0,0,0
"37",2017,"8 Ball",6,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,10,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0
"38",2017,"Broad Cove",6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0
"39",2017,"Broadway and 42nd",6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,10,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"40",2017,"Devil's Dance Floor",6,0,0,0,6,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,6,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0
"41",2017,"Larus Ledge",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,10,0,0,0,0,0,0,4,0,4,0,2,0,0,6,6,6,6,0,0,0,0,0,0,0,0
"42",2017,"North Head",6,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,0,10,0,0,0,0,0,0,4,5,10,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
"43",2017,"North Pepperrell",0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,10,0,0,0,0,6,6,6,6,2,0,0,0,0,0,0,0
"44",2017,"North Smith's Cove",0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,0,4,0,0,0,0,0,0,10,5,4,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
"45",2017,"Norwegian Cove",6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0
"46",2017,"Sandpiper Beach",6,0,0,0,0,0,0,0,6,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,6,6,0,4,0,0,4,0,4,0,0,0,0,0,0,4,5,4,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0
"47",2017,"South Pepperrell",0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,10,0,0,0,0,0,0,4,5,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0
"48",2017,"South Smith's Cove",0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,4,0,10,0,0,0,0,0,0,10,0,10,0,3,0,0,0,0,6,6,1,0,0,0,0,0,0,0
"49",2018,"8 Ball",0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,6,6,2,0,0,0,0,0,0,0
"50",2018,"Broad Cove",0,0,0,0,0,0,4,0,0,0,0,0,4,6,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,6,6,6,6,2,0,0,0,0,0,0,0
"51",2018,"Broadway and 42nd",6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,1,0,0,6,0,6,6,3,0,2,0,0,0,0,0
"52",2018,"Devil's Dance Floor",0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,6,6,6,6,3,0,0,0,0,0,0,0
"53",2018,"Larus Ledge",6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,6,10,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,6,2,0,0,0,0,0,0,4
"54",2018,"North Head",6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,10,6,10,0,0,0,1,0,0,4,0,10,0,0,0,0,6,6,6,6,1,0,0,0,0,0,0,0
"55",2018,"North Pepperrell",0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,4,0,4,0,0,0,0,6,6,6,6,3,0,0,0,0,0,0,0
"56",2018,"North Smith's Cove",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,4,0,6,0,0,0,0,0,6,6,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,6,6,6,3,0,0,0,0,0,0,0
"57",2018,"Norwegian Cove",0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,6,6,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,6,6,3,0,0,0,0,0,0,0
"58",2018,"Sandpiper Beach",0,0,0,0,4,0,0,0,0,0,0,0,10,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,10,0,4,0,0,0,0,6,0,6,6,3,0,0,0,0,0,0,0
"59",2018,"South Pepperrell",6,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,10,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,6,0,6,3,0,0,0,0,0,0,0
"60",2018,"South Smith's Cove",0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,10,0,0,0,0,6,6,6,0,3,0,0,0,0,0,0,0
